ukprn,year,measure,group,number,provider
10007789,2016/17,total,All,17195,The University of East Anglia
10007144,2016/17,total,All,13215,The University of East London
10032282,2016/17,total,All,245,The Queen's Foundation for Ecumenical Theological Education
10007823,2016/17,total,All,15220,Edge Hill University
10007772,2016/17,total,All,12910,Edinburgh Napier University
10007790,2016/17,total,All,31910,The University of Edinburgh
10022047,2016/17,total,All,140,Empire College London Limited
10042570,2016/17,total,All,415,Escape Studios
10007791,2016/17,total,All,14585,The University of Essex
10002113,2016/17,total,All,370,East End Computing and Business College Limited
10008229,2016/17,total,All,250,EThames Graduate School Limited
10007792,2016/17,total,All,23175,The University of Exeter
10008640,2016/17,total,All,5385,Falmouth University
10033187,2016/17,total,All,615,Fairfield School of Business Ltd
10045476,2016/17,total,All,205,Met Film School Limited
10004511,2016/17,total,All,275,The National Film and Television School
10038763,2016/17,total,All,175,ForMission Ltd
10022087,2016/17,total,All,380,Futureworks
10007762,2016/17,total,All,16415,Glasgow Caledonian University
10002681,2016/17,total,All,2195,Glasgow School of Art
10007794,2016/17,total,All,28615,The University of Glasgow
10007145,2016/17,total,All,8505,University of Gloucestershire
10002718,2016/17,total,All,9345,Goldsmiths College
10030408,2016/17,total,All,110,Gower College Swansea
10002735,2016/17,total,All,395,Grafton College
10006841,2016/17,total,All,6425,University of Greater Manchester
10007146,2016/17,total,All,19915,The University of Greenwich
10007937,2016/17,total,All,6785,GSM London
10007825,2016/17,total,All,1035,Guildhall School of Music and Drama
10040812,2016/17,total,All,5410,Harper Adams University
10007764,2016/17,total,All,10500,Heriot-Watt University
10007147,2016/17,total,All,24310,University of Hertfordshire
10007765,2016/17,total,All,425,Heythrop College
10007148,2016/17,total,All,18280,The University of Huddersfield
10007149,2016/17,total,All,16530,The University of Hull
10003239,2016/17,total,All,1030,ICON College of Technology and Management
10003270,2016/17,total,All,17690,"Imperial College of Science, Technology and Medicine"
10035638,2016/17,total,All,835,Institute of Contemporary Music Performance
10029682,2016/17,total,All,20,The Islamic College
10021682,2016/17,total,All,595,Kaplan Open Learning (Essex) Limited
10007767,2016/17,total,All,10600,Keele University
10003566,2016/17,total,All,330,Kensington College of Business
10007150,2016/17,total,All,20220,The University of Kent
10003645,2016/17,total,All,30565,King's College London
10008325,2016/17,total,All,175,KLC School of Design
10003678,2016/17,total,All,19260,Kingston University
10009285,2016/17,total,All,35,Kogan Academy of Dramatic Arts
10007141,2016/17,total,All,24160,University of Lancashire
10007768,2016/17,total,All,13615,The University of Lancaster
10003854,2016/17,total,All,1425,Leeds Arts University
10003861,2016/17,total,All,24885,Leeds Beckett University
10007795,2016/17,total,All,33300,The University of Leeds
10003863,2016/17,total,All,3625,Leeds Trinity University
10007796,2016/17,total,All,16800,The University of Leicester
10007151,2016/17,total,All,14105,The University of Lincoln
10007811,2016/17,total,All,2225,Lincoln Bishop University
10003956,2016/17,total,All,5240,Liverpool Hope University
10003957,2016/17,total,All,22445,Liverpool John Moores University
10003945,2016/17,total,All,745,The Liverpool Institute for Performing Arts
10006842,2016/17,total,All,27130,The University of Liverpool
10003958,2016/17,total,All,430,Liverpool School of Tropical Medicine
10007820,2016/17,total,All,1180,Grŵp Llandrillo Menai
10007162,2016/17,total,All,18290,"University of the Arts, London"
10013109,2016/17,total,All,140,London Bridge Business Academy
10007769,2016/17,total,All,1875,London Business School
10030391,2016/17,total,All,970,London Churchill College Ltd
10018361,2016/17,total,All,45,City of London College
10007797,2016/17,total,All,210,University of London (Institutes and activities)
10039082,2016/17,total,All,110,City and Guilds of London Art School
10057951,2016/17,total,All,240,London College of Creative Media Limited
10015506,2016/17,total,All,810,The London College
10004048,2016/17,total,All,12145,London Metropolitan University
10032594,2016/17,total,All,110,London School of Academics Ltd
10004078,2016/17,total,All,17985,London South Bank University
10004063,2016/17,total,All,11210,London School of Economics and Political Science
10007771,2016/17,total,All,1345,London School of Hygiene and Tropical Medicine
10022285,2016/17,total,All,220,London School of Management Education
10004075,2016/17,total,All,180,London School of Theology
10004079,2016/17,total,All,335,London Studio Centre
10000939,2016/17,total,All,85,West London College
10008289,2016/17,total,All,285,The London Institute of Banking & Finance
10004113,2016/17,total,All,17130,Loughborough University
10009612,2016/17,total,All,70,Luther King House Educational Trust
10004180,2016/17,total,All,33010,The Manchester Metropolitan University
10007798,2016/17,total,All,40490,The University of Manchester
10009527,2016/17,total,All,545,Istituto Marangoni Limited
10023452,2016/17,total,All,40,The Markfield Institute of Higher Education
10023453,2016/17,total,All,60,Matrix College of Counselling and Psychotherapy Ltd
10020416,2016/17,total,All,85,Missio Dei
10030776,2016/17,total,All,395,St Mellitus College
10004320,2016/17,total,All,120,The Metanoia Institute
10004351,2016/17,total,All,19505,Middlesex University
10004365,2016/17,total,All,50,Millennium Performing Arts Ltd
10004450,2016/17,total,All,305,Mountview Academy of Theatre Arts
10023777,2016/17,total,All,1175,Mont Rose College of Management and Sciences Limited
10023454,2016/17,total,All,205,Moorlands College
10000216,2016/17,total,All,60,All Nations Christian College Limited
10004538,2016/17,total,All,95,Nazarene Theological College
10030129,2016/17,total,All,1055,Nelson College London Ltd
10007799,2016/17,total,All,24980,Newcastle University
10045289,2016/17,total,All,35,St Nicholas Montessori Training Limited
10048199,2016/17,total,All,155,Northeastern University London
10008397,2016/17,total,All,240,Norland College
10007138,2016/17,total,All,12850,The University of Northampton
10009614,2016/17,total,All,105,Grŵp NPTC Group
10004740,2016/17,total,All,85,Northern College of Acupuncture
10001282,2016/17,total,All,26675,University of Northumbria at Newcastle
10004775,2016/17,total,All,2180,Norwich University of the Arts
10007154,2016/17,total,All,32515,University of Nottingham
10004797,2016/17,total,All,29370,The Nottingham Trent University
10010227,2016/17,total,All,130,Oak Hill College
10007773,2016/17,total,All,121620,The Open University
10023445,2016/17,total,All,50,ICOM
10004930,2016/17,total,All,17800,Oxford Brookes University
10020439,2016/17,total,All,90,Oxford Business College
10007774,2016/17,total,All,24650,The University of Oxford
10006243,2016/17,total,All,1870,St Patrick's International College
10005127,2016/17,total,All,1315,Arts University Plymouth
10007801,2016/17,total,All,21645,University of Plymouth
10019178,2016/17,total,All,110,Point Blank Music School
10007155,2016/17,total,All,23505,The University of Portsmouth
10005337,2016/17,total,All,5210,"Queen Margaret University, Edinburgh"
10007775,2016/17,total,All,18890,Queen Mary University of London
10005544,2016/17,total,All,115,Royal Academy of Dance
10005389,2016/17,total,All,2280,Ravensbourne University London
10005470,2016/17,total,All,960,"Richmond, The American International University in London"
10007802,2016/17,total,All,15840,The University of Reading
10003331,2016/17,total,All,2385,Regent's University London
10021100,2016/17,total,All,135,Regents Theological College
10008455,2016/17,total,All,1195,Regent College London
10005500,2016/17,total,All,12530,Robert Gordon University
10007776,2016/17,total,All,10665,Roehampton University
10005523,2016/17,total,All,730,Rose Bruford College of Theatre and Performance
10007835,2016/17,total,All,820,Royal Academy of Music
10005545,2016/17,total,All,1280,Royal Agricultural University
10007777,2016/17,total,All,1855,Royal College of Art
10007778,2016/17,total,All,810,Royal College of Music
10005561,2016/17,total,All,1155,Royal Conservatoire of Scotland
10007816,2016/17,total,All,1100,The Royal Central School of Speech and Drama
10005553,2016/17,total,All,10325,Royal Holloway and Bedford New College
10007837,2016/17,total,All,955,Royal Northern College of Music
10007779,2016/17,total,All,2375,The Royal Veterinary College
10007803,2016/17,total,All,10330,The University of St. Andrews
10007839,2016/17,total,All,730,SAE Education Limited
10007782,2016/17,total,All,4855,"St George's, University of London"
10008026,2016/17,total,All,990,St Mary's University College
10007843,2016/17,total,All,5535,"St Mary's University, Twickenham"
10007156,2016/17,total,All,19995,The University of Salford
10021256,2016/17,total,All,55,William Booth College
10008362,2016/17,total,All,1870,London School of Science and Technology Limited
10007780,2016/17,total,All,6360,SOAS University of London
10005700,2016/17,total,All,1620,SRUC
10005790,2016/17,total,All,30815,Sheffield Hallam University
10007157,2016/17,total,All,28715,The University of Sheffield
10053279,2016/17,total,All,95,The Sherwood Institute
10005916,2016/17,total,All,85,Slough Borough Council
10007158,2016/17,total,All,25180,The University of Southampton
10006022,2016/17,total,All,11060,Southampton Solent University
10006093,2016/17,total,All,205,Spurgeon's College
10006299,2016/17,total,All,14890,University of Staffordshire
10007804,2016/17,total,All,12065,The University of Stirling
10037449,2016/17,total,All,2415,University of St Mark and St John
10008010,2016/17,total,All,1475,Stranmillis University College
10022944,2016/17,total,All,410,Stratford College London (SCL)
10007805,2016/17,total,All,22955,The University of Strathclyde
10014001,2016/17,total,All,5080,University of Suffolk
10007159,2016/17,total,All,13020,The University of Sunderland
10007160,2016/17,total,All,16065,The University of Surrey
10007806,2016/17,total,All,16685,The University of Sussex
10007855,2016/17,total,All,19160,Swansea University
10007161,2016/17,total,All,18555,Teesside University
10037822,2016/17,total,All,90,Tottenham Hotspur Foundation
10008017,2016/17,total,All,1015,Trinity Laban Conservatoire of Music and Dance
10007858,2016/17,total,All,9755,University of Wales Trinity Saint David
10007114,2016/17,total,All,8720,University of the Highlands and Islands
10007807,2016/17,total,All,24640,Ulster University
10039956,2016/17,total,All,4900,The University of Law
10007784,2016/17,total,All,37915,University College London
10007793,2016/17,total,All,23465,University of South Wales
10008574,2016/17,total,All,5,The University of Wales (central functions)
10007163,2016/17,total,All,25045,The University of Warwick
10007361,2016/17,total,All,140,Waverley Abbey College
10007164,2016/17,total,All,27880,"University of the West of England, Bristol"
10007800,2016/17,total,All,15955,The University of the West of Scotland
10032288,2016/17,total,All,35,West Dean College
10006566,2016/17,total,All,10390,The University of West London
10007165,2016/17,total,All,19650,The University of Westminster
10003614,2016/17,total,All,7540,The University of Winchester
10023290,2016/17,total,All,960,West London College of Business and Management Sciences Limited
10007166,2016/17,total,All,19560,The University of Wolverhampton
10007139,2016/17,total,All,10745,University of Worcester
10007833,2016/17,total,All,6415,Wrexham University
10007657,2016/17,total,All,775,Writtle University College
